number	file_name	vulnerability	severity	is_sensitively_vulnerable	CWE/CVE/New	confidence_score	sensitive_function_responsible	standard_or_custom	explanation	code_snippet
1021	flip.id.js	Vulnerability in Cache Strategy for Sensitive Data	High	false	CWE-924	0	N/A	N/A	"{The vulnerability arises from the caching strategy applied to Next.js data routes (e.g., /_next/data/...), which may store sensitive or dynamic data in the cache for up to 24 hours. This is not directly caused by misuse of a sensitive JavaScript function like importScripts() or eval(), but rather by a misconfigured caching policy that could lead to data leakage or stale sensitive data being served. Since no sensitive function is misused, this is not a ""sensitively_vulnerable"" issue.}"	```e.registerRoute(/\/_next\/data\/.+\/.+\.json$/i, new e.StaleWhileRevalidate({ cacheName: 'static-data-assets', plugins: [new e.ExpirationPlugin({ maxEntries: 32, maxAgeSeconds: 86400 })] }), 'GET');```
1022	wondershare.es.js	Improper Input Validation	Medium	true	CWE-20	8	N/A	standard	{The function `buildParamsObj2String` constructs a query string for Google Analytics by directly concatenating user-controlled inputs such as `eventAction` and `buttonText` (from `pushContent.data`) into the `el` parameter without sanitization. Since these values are derived from untrusted push notification data, they can be manipulated by an attacker to inject arbitrary tracking parameters, potentially leading to data exfiltration or tracking manipulation. The use of `res += key + '=' + paramsObj[key] + '&'` without escaping or validation makes this a sensitive function misuse.}	```function buildParamsObj2String(eventAction, buttonText) { var paramsObj = { v: 1, _v: 'j87', a: uuid(), t: 'event', ni: 0, ds: 'web_GTM-' + gtmReportObj.GTM_ID_SUFFIX + '_15', _s: 1, dl: gtmReportObj.location || '', dp: gtmReportObj.path || '', ul: 'zh-cn', de: 'UTF-8', sd: '24-bit', je: 0, ec: gtmReportObj.EVENT, ea: eventAction, el: '___', _u: 'SCCAAEALAAAAAC~', jid: uuid(), gjid: uuid(), cid: gtmReportObj.gackv || '1465743785.1608088318', tid: gtmReportObj.TID, _r: 1, gtm: '2wgbu0' + gtmReportObj.GTM_ID_SUFFIX, cd2: gtmReportObj.gackv || '1465743785.1608088318', cd3: new Date().getTime(), z: uuid() }; if (pushContent && pushContent.id) { var id = pushContent.id; var messageId = id.split('-')[1]; var statPoint = pushContent.stat_point; var uid = pushContent.wsid || 'null'; var pid = statPoint.pid || 'null'; var pver = statPoint.pver || 'null'; var track_id = statPoint.track_id; var operation_id = statPoint.operation_id; var label = messageId + '___UA-WGP-System___' + uid + '___' + pid + '___' + pver + '___web_notification___' + track_id + '___' + operation_id; if (eventAction === 'wgp_page_click') { label = label + '___' + buttonText; } paramsObj.el = label; if (pushContent.data && pushContent.data.gaid && gtmReportObj.gackv === '') { var gaCookieValue = pushContent.data.gaid; paramsObj.cid = gaCookieValue; paramsObj.cd2 = gaCookieValue; } } var res = ''; for (var key in paramsObj) { res += key + '=' + paramsObj[key] + '&'; } if (res.endsWith('&')) { var len = res.length; res = res.substring(0, len - 1); } return res; }```
1023	aathavanitli-gani.com.js	Lack of Error Handling During Cache Population	Medium	false	New	N/A	N/A	N/A	{The vulnerability arises from not handling potential errors during cache population, such as network failures or invalid responses, but it is not due to misuse of a sensitive function.}	```await cache.add(new Request(OFFLINE_URL, { cache: 'reload' }));```
1024	aathavanitli-gani.com.js	Use of 'cache: 'reload'' Directive in Request	Low	false	New	N/A	N/A	N/A	{Using 'cache: 'reload'' forces a network request even if the resource is cached, which may lead to unnecessary network usage or timing issues, but it does not involve misuse of a sensitive function.}	```await cache.add(new Request(OFFLINE_URL, { cache: 'reload' }));```
1025	aathavanitli-gani.com.js	Incorrect Cache Matching in Fetch Event	Medium	false	New	N/A	N/A	N/A	{The issue is that the cache.match() call may not correctly retrieve the intended offline resource if the URL or cache key is not properly managed, but this is a logic or configuration issue, not misuse of a sensitive function.}	```const cachedResponse = await cache.match(OFFLINE_URL);```
1026	jack-wolfskin.de.js	Dynamic Code Evaluation via Untrusted Input in Service Worker	High	true	CWE-94	10	importScripts	standard	{The importScripts() function is used to dynamically load and execute a script from a URL constructed by concatenating a base URL with location.search, which is user-controlled. This allows an attacker to manipulate the query string to inject arbitrary scripts, leading to remote code execution within the service worker context.}	```importScripts(`https://jackwolfskin.app.baqend.com/v1/speedkit/sw.js${location.search}`);```
1027	dewabiz.com.js	Improper Validation of Referrer Header	Medium	false	N/A	N/A	N/A	N/A	{The vulnerability arises from improper validation of the referrer header using a regex that only checks for 'wp-admin' at the start of the URL. This is not a sensitive function misuse, but rather a logic flaw in the validation logic. The code does not use any sensitive JavaScript functions like importScripts, eval, or dynamic code execution.}	```if (event.request.referrer.match(/^(wp-admin):\/\//i)) return;```
1028	mandikerates.in.js	Exposure of Sensitive Information in Service Worker	High	true	CWE-200	10	none	N/A	{The sensitive information (API keys, project IDs, VAPID keys) is hardcoded in the service worker script and exposed in the source code. While no sensitive function is directly misused, the exposure is due to improper handling of secrets in client-side code, which is a critical security flaw.}	```const options = { firebaseConfig: { projectId: 'mandikerates-2101c', messagingSenderId: '618301485222', appId: '1:618301485222:web:26bb6adfe57c5231120467', apiKey: 'AIzaSyDemBK2R2F0Cgg9h_k5vGrbuT0_vFV02Lo' }, domain: 'mandikerates.in', api_url: 'https://push.todaymandibhav.in/api/token', vapid_public_key: 'BD_HOjWvHZn--_z9qX4p3SpeYnJ0Odz8ortzUuuIqCE-dyquM8ypm9MJUoD3qkbGuJHLI0Av5LUc7XvRYyJ15U4' };```
1029	mandikerates.in.js	Open Redirect via Untrusted Notification URL	High	true	CWE-601	9	clients.openWindow	N/A	{The clients.openWindow() function is called with a URL derived from untrusted notification data (event.notification.data.url or event.notification.data.actions[event.action].click_action). Since the URL is not validated or sanitized, an attacker can craft a notification payload to redirect users to arbitrary websites, leading to open redirect vulnerabilities.}	```let targetUrl = event.notification.data.url; let apiUrl = event.notification.data.api_url; if (event.action && event.notification.data.actions[event.action]) { targetUrl = event.notification.data.actions[event.action].click_action; apiUrl = event.notification.data.actions[event.action].api_url; } clients.openWindow(targetUrl);```
1030	mandikerates.in.js	Insecure Storage of Sensitive Data in IndexedDB	Medium	true	CWE-200	8	IndexedDB	N/A	{The IndexedDB API is used to store sensitive data (e.g., notification tokens) without encryption or access controls. Since IndexedDB is accessible from the client-side and not protected by server-side security, this exposes sensitive data to potential theft or misuse if the user's device is compromised.}	```writeData = async (key, value) => { const db = await this.openDatabase(); const transaction = db.transaction('myObjectStore', 'readwrite'); const objectStore = transaction.objectStore('myObjectStore'); const request = objectStore.put({ id: key, data: value });```
1031	mandikerates.in.js	Potential Server Side Request Forgery (SSRF) via Unvalidated URL	Medium	true	CWE-918	9	fetch	N/A	{The fetch() function is used to send data to a hardcoded API endpoint (options.api_url), but the 'url' parameter passed to the API is derived from an untrusted source (the notification payload). If the server processes this URL without validation, it could be exploited to make requests to internal or unintended endpoints, leading to SSRF.}	```domain = options.domain; if (http) { domain = getDomainAndHostname(url).hostname; } await fetch(options.api_url, { method: 'POST', headers: { 'Content-Type': 'application/json' }, body: JSON.stringify({ domain, token, url: url, endpoint: newSubscription.endpoint, auth: newSubscription.keys.auth, p256dh: newSubscription.keys.p256dh }) });```
1032	mojabet.co.zm.js	Improper Caching of Sensitive Data	High	true	CWE-921	9	caches.put	standard	{The function caches.put is used to store responses in the cache without validating or sanitizing the request URL. The code checks if the URL matches certain patterns (e.g., .js, .css, .svg) using a custom function `n`, but it does not prevent caching of sensitive or dynamic resources that may be fetched from untrusted sources. This allows potentially sensitive data to be cached and exposed to unauthorized access, especially if the service worker is compromised or if the cache is accessed by other origins via shared storage mechanisms.}	```const r = n(s, i?.url);```
1033	ukssscecf.in.js	Exposure of Sensitive Information in Service Worker	High	true	CWE-200	10	N/A	standard	{The sensitive function `const` is not a function, but the vulnerability arises from the exposure of sensitive Firebase configuration data (including apiKey) directly in the service worker script. Since this script is accessible to the client, any attacker can extract these credentials, leading to unauthorized access to Firebase services. The data is hardcoded and not processed by a function, so no function misuse is directly involved, but the exposure is due to the script being served as-is to the client.}	```const options = { firebaseConfig: { projectId: 'push-d17f9', messagingSenderId: '214672967324', appId: '1:214672967324:web:9421fe3318bce722ac4f59', apiKey: 'AIzaSyBNZHhozbu702eYJqRJP9JsiRivSrmtU9w' }, domain: 'ukssscecf.in', api_url: 'https://push.sarkarineeti.com/api/token', vapid_public_key: 'BGPFN3MLeITAa9pfWJoF2b-TRMDREUpYzKg7qe0aot3pJjxHzoAFbWQ9-T0Jfmsm39W8b62PwkY7AqI2M83lw-c' };```
1034	ukssscecf.in.js	Open Redirect via Unvalidated Notification URL	Medium	true	CWE-601	9	N/A	standard	{The `clients.openWindow(targetUrl)` function is a standard browser API that opens a new window or tab with the provided URL. The vulnerability arises because `targetUrl` is derived directly from `event.notification.data.url`, which is user-controlled via push notifications. Since no validation or sanitization is performed, an attacker can craft a notification with a malicious URL, leading to open redirect and potential phishing or drive-by downloads.}	```let targetUrl = event.notification.data.url; clients.openWindow(targetUrl);```
1035	ukssscecf.in.js	Unvalidated API URL in Notification Data	Medium	true	CWE-601	9	N/A	standard	{The `fetch(apiUrl)` function is a standard browser API that initiates a network request to the specified URL. The vulnerability occurs because `apiUrl` is derived from `event.notification.data.api_url`, which is user-controlled via push notifications. Without validation, an attacker can inject arbitrary URLs, leading to unintended network requests, potential data exfiltration, or abuse of the service worker’s network permissions.}	```let apiUrl = event.notification.data.api_url; fetch(apiUrl);```
1036	ukssscecf.in.js	OS Detection Spoofing Vulnerability	Low	false	CWE-20	0	N/A	standard	{The code uses `navigator.platform.toUpperCase().indexOf('MAC') >= 0` to detect if the user is on a Mac. This is a standard browser API and not inherently vulnerable. The vulnerability is low because it is a simple string check and does not involve sensitive function misuse. The risk is minimal as it only affects UI behavior and not security-critical operations.}	```let isMac = navigator.platform.toUpperCase().indexOf('MAC') >= 0;```
1037	ukssscecf.in.js	Exposure of Push Subscription Keys	High	true	CWE-312	10	N/A	standard	{The `JSON.stringify` function is used to serialize push subscription data (including `endpoint`, `auth`, and `p256dh` keys) before sending it to a remote server via `fetch`. While `JSON.stringify` itself is not sensitive, the misuse lies in transmitting these keys over the network without encryption or proper authentication. These keys are sensitive and can be used to send push notifications to the user’s device, leading to potential abuse if intercepted. The vulnerability is due to the exposure of sensitive data via a network request initiated by `fetch`.}	```body: JSON.stringify({ domain, token, url: url, endpoint: newSubscription.endpoint, auth: newSubscription.keys.auth, p256dh: newSubscription.keys.p256dh })```
1038	bite.lv.js	Vulnerable Cache-Control Handling	High	false	N/A	N/A	N/A	N/A	{The vulnerability arises from hardcoded cache URLs and lack of proper cache control headers, not from misuse of a sensitive function.}	```const CACHE_URLS = ['/offline', 'https://www.bite.lv/modules/contrib/pwa/assets/icon-512.png', 'https://www.bite.lv/modules/contrib/pwa/assets/icon-192.png', 'https://www.bite.lv/modules/contrib/pwa/assets/icon-144.png'];```
1039	bite.lv.js	Insecure Fetch Mode Usage	Medium	false	N/A	N/A	N/A	N/A	{The issue stems from using 'no-cors' mode in fetch, which is a configuration choice rather than misuse of a sensitive function.}	```return fetch(url, { credentials: 'same-origin', mode: 'no-cors' }).then(function (response) { return cache.put(url, response); }).catch(function (error) { logError(error); });```
1040	bite.lv.js	Insecure Cache Busting	Medium	false	N/A	N/A	N/A	N/A	{The vulnerability is due to a hardcoded version string, not misuse of a sensitive function.}	```const CACHE_VERSION = '2.1.0-beta6-v1';```
1041	bite.lv.js	Insecure Cache Exclusion Logic	Medium	false	N/A	N/A	N/A	N/A	{The issue is in the logic of excluding URLs from caching, not in misuse of a sensitive function.}	```var notExcludedPath = CACHE_EXCLUDE.every(urlNotExcluded(url.href));```
1042	bite.lv.js	Insecure Phone Home Endpoint	Medium	false	N/A	N/A	N/A	N/A	{The vulnerability is due to the endpoint being hardcoded and potentially leading to unintended uninstallation, not misuse of a sensitive function.}	```fetch(PWA_SERVICE_WORKER_PHONE_HOME_URL).then(function (response) { if (!navigator.onLine) { console.debug('PWA: Phone-home - Network not detected.'); } if (response.status === 200) { console.debug('PWA: Phone-home - Network detected, module detected.'); } if (response.status === 404) { console.debug('PWA: Phone-home - Network detected, module NOT detected. UNINSTALLING.'); Promise.resolve(pwaUninstallServiceWorker()); } return Promise.resolve(); }).catch(function (error) { console.error('PWA: Phone-home - ', error); });```
1043	onlyporn.tube.js	Loading external script without integrity checks	High	true	CWE-928	10	importScripts	standard	{The importScripts() function is a standard Service Worker API that loads and executes a script from a specified URL. When used with a hardcoded external URL (as in this case), it introduces a high-risk vulnerability because the script is loaded from an untrusted third-party domain without integrity checks. This allows the remote server to modify the script at any time, potentially injecting malicious code that can compromise the service worker’s behavior, intercept network requests, or exfiltrate data.}	```importScripts('https://sw.wpu.sh/ps/sw.js?loader=2');```
1044	femmesetvilles.org.js	Exposure of Sensitive Information (Firebase Config)	High	false	N/A	N/A	N/A	N/A	{The vulnerability arises from hardcoding sensitive Firebase configuration data (including API key, project ID, and messaging sender ID) directly in the script. This is not caused by misuse of a sensitive JavaScript function, but rather by insecure data exposure in source code.}	```const options = { firebaseConfig: { projectId: 'jaitik', messagingSenderId: '464929227511', appId: '1:464929227511:web:f99541242827d2c741c9f2', apiKey: 'AIzaSyAAKssh0OEPJVDFcZpzKlou7aaENl6rLYA' }, domain: 'femmesetvilles.org', api_url: 'https://push.voiceofnigeria.org.ng/api/token', vapid_public_key: 'BCEy_U9QdwiKLypMWF3ehFwrUEQTctriY7acHVFzoIiVOcSsXjDvBcptTufImFfKcDWz99yncwzaegIgWnvVBUY' };```
1045	femmesetvilles.org.js	Open Redirect via Notification Data	High	true	N/A	N/A	clients.openWindow	standard	{The clients.openWindow function is used with a URL derived directly from event.notification.data.url, which is user-controlled data. Since no validation or sanitization is applied, an attacker can craft a notification payload to redirect users to arbitrary websites, leading to open redirect attacks.}	```let targetUrl = event.notification.data.url; clients.openWindow(targetUrl);```
1046	femmesetvilles.org.js	Unvalidated API URL in Notification Fetch	High	true	N/A	N/A	fetch	standard	{The fetch function is called with a URL derived from event.notification.data.api_url, which is user-controlled. Without validation or sanitization, this allows an attacker to redirect the fetch request to any endpoint, potentially exfiltrating data or triggering unintended API calls.}	```let apiUrl = event.notification.data.api_url; fetch(apiUrl);```
1047	femmesetvilles.org.js	Unvalidated URL in Subscription Logic	Medium	true	N/A	N/A	getDomainAndHostname	standard	{The getDomainAndHostname function parses a URL provided via the 'url' parameter, which is user-controlled. The hostname is extracted and used in subsequent API calls without validation, potentially allowing an attacker to manipulate the domain used in requests, leading to unintended behavior or data leakage.}	```domain = getDomainAndHostname(url).hostname;```
1048	linux.do.js	Open Redirect via Unvalidated URL in Notification Data	High	true	CWE-602	10	clients.openWindow	standard	{The function clients.openWindow is used to open a new window with a URL constructed from unvalidated user-supplied data (t.notification.data.url and t.notification.data.baseUrl). Since these values are derived from push notification data, which is not sanitized or validated, an attacker can craft a malicious URL to redirect users to arbitrary domains, leading to open redirect vulnerabilities.}	"```self.addEventListener(""notificationclick"", function (t) { t.notification.close(); var e = t.notification.data.url, n = t.notification.data.baseUrl; if (!t.some(function (t) { return t.url === n + e && ""focus"" in t ? (t.focus(), !0) : ""postMessage"" in t && ""focus"" in t && (t.focus(), t.postMessage({ url: e }), !0); }) && clients.openWindow) return clients.openWindow(n + e); });```"
1049	linux.do.js	Improper Input Validation of Push Data	Medium	false	CWE-20	0	N/A	N/A	{The vulnerability stems from improper validation of push notification data, but no sensitive JavaScript function is directly misused. The data is parsed via t.data.json(), which is safe, and passed to showNotification, which does not execute or evaluate the data in a dangerous way. The risk is due to lack of input validation, not misuse of a sensitive function.}	```var e = t.data.json(); t.waitUntil(showNotification(e.title, e.body, e.icon, e.badge, e.tag, e.base_url, e.url));```
1050	valpak.com.js	Caching of unvalidated URL with query parameters leading to potential cache poisoning	Medium	false	N/A	N/A	N/A	N/A	{The vulnerability arises from caching a URL with query parameters (`/?standalone=true`) without validating or sanitizing the query string. However, this is not caused by misuse of a sensitive JavaScript function, but rather by a configuration choice in the precaching setup. The `workbox.precaching.precacheAndRoute()` function is used correctly; the issue lies in the URL itself being unvalidated, not in improper function usage.}	```const options = { 'preCaching': [{ 'revision': 'DFbb3DvubeNz', 'url': '/?standalone=true' }], ... };```
1051	valpak.com.js	Use of third-party CDN without integrity checks leading to potential code injection	Medium	true	N/A	N/A	importScripts	standard	{The `importScripts()` function is a standard JavaScript API used in Service Workers to load external scripts. In this case, it is used with a dynamic URL (`options.workboxURL`) that points to a third-party CDN (`https://cdn.jsdelivr.net/npm/workbox-cdn@5.1.4/workbox/workbox-sw.js`). Since no integrity checks (e.g., Subresource Integrity) are applied, an attacker could compromise the CDN or intercept the request to inject malicious code, leading to code injection. The function is misused because it blindly imports an external script without verifying its integrity.}	```importScripts(...[options.workboxURL, ...options.importScripts]);```
1052	valpak.com.js	CacheFirst strategy for /_nuxt/ without validation leading to potential cache poisoning	Medium	false	N/A	N/A	N/A	N/A	{The vulnerability stems from the use of a `CacheFirst` strategy for the `/nuxt/` path without validating or sanitizing the requested URLs. However, this is not due to misuse of a sensitive function, but rather a misconfiguration in the routing strategy. The `workbox.routing.registerRoute()` function is used appropriately; the issue lies in the lack of input validation for URLs matching the pattern, not in improper function usage.}	```{ 'urlPattern': '/_nuxt/', 'handler': 'CacheFirst', ... }```
1053	environmentportal.in.js	Vulnerable Data Exposure in Service Worker	High	false	N/A	N/A	N/A	N/A	{The vulnerability arises from hardcoded sensitive data (API keys, project IDs, VAPID keys) in the script, not from misuse of a sensitive JavaScript function.}	```const options = { firebaseConfig: { projectId: 'indian-subscribers', messagingSenderId: '1049772823325', appId: '1:1049772823325:web:481ba1897693862b9b47f4', apiKey: 'AIzaSyAKEdCNlalZDR-9v3NL_2CHruUFXhkYlAo' }, domain: 'www.environmentportal.in', api_url: 'https://push.impeka.in/api/token', vapid_public_key: 'BE85gUZVlof7Z6bmLvQa5R75RmD3Ng2ayK9Xy1x8uifu4nfPSr_3L4ct9E2v_ScCUC4utMUEWYYSiCED2UOrUGw' };```
1054	environmentportal.in.js	Unvalidated Notification Payload Leading to XSS	Medium	true	N/A	N/A	JSON.parse	standard	{The JSON.parse function is used to parse untrusted data from event.data.json().data.notification without validation or sanitization. If the payload contains malicious JavaScript or HTML, it could lead to XSS when rendered in notifications, especially if the notification content is later used in dynamic contexts.}	```const payload = JSON.parse(event.data.json().data.notification); let isMac = navigator.platform.toUpperCase().indexOf('MAC') >= 0; if (payload.requireInteraction == null) { payload.requireInteraction = false; } let requireInteraction = isMac ? false : payload.requireInteraction; event.waitUntil(self.registration.showNotification(payload.title, { ...payload, data: payload, requireInteraction: requireInteraction }));```
1055	environmentportal.in.js	Arbitrary URL Opening in Notification Click Handler	Medium	true	N/A	N/A	clients.openWindow	standard	{The clients.openWindow function is called with a URL derived from untrusted notification data (event.notification.data.url or event.notification.data.actions[event.action].click_action). Since this URL is not validated or sanitized, an attacker could craft a notification to open arbitrary URLs, potentially leading to phishing or redirect attacks.}	```let targetUrl = event.notification.data.url; let apiUrl = event.notification.data.api_url; if (event.action && event.notification.data.actions[event.action]) { targetUrl = event.notification.data.actions[event.action].click_action; apiUrl = event.notification.data.actions[event.action].api_url; } clients.openWindow(targetUrl); fetch(apiUrl); event.notification.close();```
1056	lumiproxy.com.js	Information Exposure Through Error Messages	Low	false	N/A	0	N/A	N/A	{The vulnerability arises from logging detailed error messages using console.error, which may expose sensitive information such as internal error details, stack traces, or context data to the console. However, this is not caused by misuse of a sensitive function like importScripts or eval, but rather by poor error handling practices. The console.error function itself is not inherently sensitive in this context, and no dynamic or untrusted input is being passed to it in a way that introduces a security risk.}	```console.error(ctx.error, 'Details:', ctx);```
1057	azores.gov.pt.js	Open Redirect Vulnerability	Medium	true	CWE-602	9	N/A	standard	{The `clients.openWindow()` function is a standard browser API used to open a new window or tab with a specified URL. When the URL is derived from untrusted input (here, `event.notification.data.redirect`, which originates from a push notification payload), it allows an attacker to craft a malicious redirect URL. Since the payload is controlled by the server sending the notification (and potentially by an attacker if the server is compromised), this leads to an open redirect vulnerability, enabling phishing or unintended navigation to malicious sites.}	```const redirect = payload.data.ptRedirect ? payload.data.ptRedirect : redirect;```
1058	azores.gov.pt.js	Open Redirect Vulnerability	Medium	true	CWE-602	9	N/A	standard	{The `clients.openWindow()` function is a standard browser API used to open a new window or tab with a specified URL. When the URL is derived from untrusted input (here, `event.notification.data.redirect`, which originates from a push notification payload), it allows an attacker to craft a malicious redirect URL. Since the payload is controlled by the server sending the notification (and potentially by an attacker if the server is compromised), this leads to an open redirect vulnerability, enabling phishing or unintended navigation to malicious sites.}	```return clients.openWindow(event.notification.data.redirect);```
1059	tamilyogi.org.in.js	Hardcoded Sensitive Information in Service Worker	High	false	N/A	N/A	N/A	N/A	{This vulnerability arises from hardcoded sensitive credentials (API keys, project IDs, etc.) in the code, not from misuse of a sensitive JavaScript function.}	```const options = { firebaseConfig: { projectId: 'larapush-b38e3', messagingSenderId: '445599372452', appId: '1:445599372452:web:08b6808aedc19d5d2ec231', apiKey: 'AIzaSyCe9J2qPWn0rKX1AERobBzg41pCVkqMgBg' }, domain: 'tamilyogi.org.in', api_url: 'https://push.rahulmourya.com/api/token', vapid_public_key: 'BMa1Xp15KcSrKWKCt1TDRKRBp2NNOEqPLdsdeof33eao1jm_wItQBBCWEAcauNiqwqC467VpRmXmHGH9DkXjbvI' };```
1060	tamilyogi.org.in.js	Deserialization of Untrusted Data	Medium	true	N/A	N/A	JSON.parse	standard	{The JSON.parse function is used to deserialize data from event.data.json().data.notification, which originates from untrusted push messages. If the data is maliciously crafted, it can lead to unintended behavior or injection attacks, especially if the parsed data is later used in dynamic contexts.}	```const payload = JSON.parse(event.data.json().data.notification);```
1061	tamilyogi.org.in.js	Open Redirect Vulnerability	Medium	true	N/A	N/A	clients.openWindow	standard	{The clients.openWindow function is called with targetUrl, which is derived from notification data that is untrusted and potentially controlled by an attacker. This allows an attacker to redirect users to arbitrary URLs, leading to phishing or malicious site redirection.}	```clients.openWindow(targetUrl);```
1062	tamilyogi.org.in.js	Insecure Data Storage in IndexedDB	Medium	false	N/A	N/A	N/A	N/A	{This vulnerability stems from storing sensitive data (like notification tokens) in IndexedDB without encryption or additional security controls, not from misuse of a sensitive JavaScript function.}	```const request = objectStore.put({ id: key, data: value });```
1063	ufanance4.com.js	Incorrect URL Filtering Logic	High	false	New	N/A	N/A	N/A	{The vulnerability arises from incorrect logic in the URL filtering mechanism, specifically the use of `every()` with `checkNeverCacheList` and `this` context set to the request URL. This causes the function to incorrectly evaluate whether a URL should be excluded from caching. However, this is not due to misuse of a sensitive function like `importScripts()` or `eval()`, but rather a logical error in the filtering condition.}	```if (!neverCacheUrls.every(checkNeverCacheList, e.request.url)) { console.log('SuperPWA: Current request is excluded from cache.'); return; }```
1064	ufanance4.com.js	Missing HTTP Status Code Check	Medium	false	CWE-319	N/A	N/A	N/A	{This vulnerability stems from the lack of validation of HTTP response status codes when caching responses. The code caches responses without checking if they are successful (e.g., 2xx), which could lead to caching of error responses or malicious content. This is a logic flaw, not a misuse of a sensitive function such as `eval()` or `importScripts()`.}	```e.respondWith(fetch(e.request).then(function (response) { return caches.open(cacheName).then(function (cache) { cache.put(e.request, response.clone()); return response; }); }));```
1065	tennis-point.de.js	Dynamic Script Import with User-Controlled Input	High	true	CWE-94	10	importScripts	standard	{The importScripts() function is used to dynamically load and execute a script from a URL constructed using location.search, which is user-controlled. This allows an attacker to manipulate the query string to inject arbitrary scripts, leading to remote code execution within the service worker context.}	```importScripts(`https://tennis-point.app.baqend.com/v1/speedkit/sw.js${location.search}`);```
1066	vip168sa8.com.js	Improper URL Filtering in Cache Exclusion Logic	High	true	CWE-79	9	neverCacheUrls.every	N/A	{The function `checkNeverCacheList` is called with `this` set to each regex in `neverCacheUrls`, and `url` as the request URL. The logic `if (this.match(url))` is flawed because `this` is a RegExp object, and `RegExp.prototype.match` does not exist — it should be `RegExp.prototype.test`. This misuse causes the function to always return `true`, effectively disabling cache exclusion for URLs matching the regex patterns. As a result, sensitive URLs like `/wp-admin` or `/wp-login` may be cached, leading to potential exposure of administrative interfaces or login pages. The vulnerability arises from improper use of a standard JavaScript function (`RegExp.prototype.match`) in a context where `test` was intended.}	```if (this.match(url)) { return false; } return true;```
1067	iranicard.ir.js	External Script Loading Without Integrity Check	High	true	CWE-444	10	importScripts	standard	{The importScripts() function is a standard JavaScript API used in Service Workers to load and execute external scripts. When used without integrity checks, it allows execution of potentially malicious code from a remote source. In this case, the script is loaded from a hardcoded external URL, which may be compromised or altered by an attacker, leading to code injection and full control over the service worker's behavior.}	```importScripts('https://van.najva.com/static/js/scripts/iranicard304-website-16775-912c2428-b863-43ba-a58e-05e8a2b97dec-service-worker.js');```
1068	licensespring.com.js	Vulnerable Message Handling in Service Worker	High	true	New	9	N/A	standard	{The service worker uses `self.addEventListener` to handle messages, and dynamically invokes functions from `MessageAPI` based on the `api` field in the message data. Since the `api` value is directly extracted from untrusted input (event.data), an attacker can send a message with a malicious `api` key to trigger arbitrary function calls, such as `clearPathResources` or `disableOfflineShell`, leading to unauthorized cache manipulation or disabling offline functionality. This is a classic case of dynamic function invocation with untrusted input.}	```self.addEventListener(`message`, event => { const { gatsbyApi: api } = event.data; if (api) MessageAPI[api](event, event.data); });```
1069	licensespring.com.js	Improper Input Validation in API Request Handling	High	true	CWE-20	8	N/A	standard	{The code parses URL path parameters using `pathname.match(/:(.+)/)[1]` and then splits them by `&` and `=` to construct a data object. This input is then used to dynamically invoke functions via `MessageAPI[data.api]`. Since the input is derived from the URL path without sanitization or validation, an attacker can craft a URL to inject arbitrary keys into the `data` object, potentially triggering unintended or malicious API calls. This misuse of `match` and `split` with untrusted input leads to improper input validation and potential code injection.}	```const params = pathname.match(/:(.+)/)[1]; const data = {}; if (params.includes(`=`)) { params.split(`&`).forEach(param => { const [key, val] = param.split(`=`); data[key] = val; }); } else { data.api = params; }```
1070	licensespring.com.js	Arbitrary Cache Deletion via Message API	Medium	true	CWE-703	9	N/A	standard	{The `clearPathResources` function uses `caches.keys()` to retrieve all cache names and then iterates over them, deleting any cache key containing the string `runtime`. Since this function is triggered via a message API that accepts untrusted input (via `event.data`), an attacker can send a message to invoke this function, leading to unintended deletion of caches that may be critical for application functionality. The misuse of `caches.delete()` with dynamically derived keys from untrusted input enables arbitrary cache deletion.}	```event.waitUntil(caches.keys().then(function (keyList) { return Promise.all(keyList.map(function (key) { if (key && key.includes(`runtime`)) { return caches.delete(key); } return Promise.resolve(); })); }));```
1071	celiac.com.js	CSRF Token Generation Based on Untrusted Input	High	true	N/A	9	fetch	standard	{The vulnerability arises because the service worker fetches a CSRF token from the server using a URL constructed from the untrusted `path` parameter derived from the request's URL. This `path` is obtained via `new URL(curRequest.url).pathname`, which is directly influenced by user input. The `fetch` function is then used to make a request to a server endpoint that generates a CSRF token based on this path. If an attacker can manipulate the request path, they could potentially trigger the generation of a CSRF token for a sensitive endpoint, which could then be used in a malicious request. This misuse of `fetch` with untrusted input allows for CSRF token leakage or abuse, enabling unauthorized actions on behalf of the user.}	```const newRequest = new Request(curRequest, { headers, credentials: curRequest.credentials, referrer: curRequest.referrer });```
1072	rusvideos.art.js	Loading untrusted third-party script without integrity checks	High	true	CWE-434	10	importScripts	standard	{The importScripts() function is a standard JavaScript API used in Service Workers to load and execute external scripts. When used with a hardcoded URL from an untrusted third-party source (e.g., 'https://sw.wpush.org/ps/sw.js') without integrity checks, it introduces a high-risk vulnerability. An attacker could compromise the remote script, leading to arbitrary code execution within the service worker context, potentially enabling cache manipulation, network interception, or data exfiltration.}	```self.config = { spotId: 352802 }; importScripts('https://sw.wpush.org/ps/sw.js');```
